Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2011-01-07,303.6575012207031,314.85069102317215,302.3602711195312,311.9994768246755,8550928
2011-01-10,305.9095153808594,310.1795827165221,301.9682531271856,304.0402309976884,10390408
2011-01-11,299.5990295410156,308.40042803969385,296.2118088688091,300.8872638418237,12319416
2011-01-12,304.2474365234375,305.39152426576186,298.92334540028185,301.7880844514166,10035400
2011-01-13,288.7436218261719,297.19369241106693,287.82474909165165,296.65317645033144,22352872
2011-01-14,288.6625061035156,295.2928209432392,286.92384231493435,287.0274323930366,10321640
2011-01-17,294.47314453125,295.6352452258679,287.48697027897146,288.2752228414285,8218616
2011-01-18,299.35577392578125,300.4998617114798,292.7794960152841,292.7794960152841,9797168
2011-01-19,292.7434387207031,298.54496761620754,291.5002476734808,297.9278697939526,6935088
2011-01-20,296.9144287109375,297.95041767642385,289.90575573935087,291.1579423001738,7231848
2011-01-21,292.22552490234375,295.30195347867544,291.0679108266017,294.6713513815581,4626824
2011-01-24,295.90093994140625,296.38290878811137,290.73452158166975,291.87860926245617,7501360
2011-01-25,293.6488342285156,297.7207392054499,291.522817729675,294.13080314752034,9925912
2011-01-27,287.9958801269531,294.49108852135043,286.9689086830106,294.49108852135043,12710648
2011-01-28,285.4058837890625,294.45052922036797,282.92851938203336,288.7976340734197,12684296
2011-01-31,280.8611755371094,282.7349691210303,278.0234659537694,282.7349691210303,7749368
2011-02-01,278.29364013671875,281.82500659963233,274.14068913082286,281.6358392139487,10301688
2011-02-02,278.2981872558594,285.03211604031367,276.1136016635782,280.43772984623786,9174728
2011-02-03,280.8521423339844,284.0411781628998,278.0234285369944,279.392731435465,6049408
2011-02-04,274.5730895996094,281.4016122760054,272.6362407477648,279.176492644942,6959880
2011-02-07,278.13592529296875,280.51869481457703,275.75315577136047,277.0053419641742,7341128
2011-02-08,278.9603271484375,281.06833083221784,276.74420266556837,279.26661076278054,6023992
2011-02-09,282.0321960449219,284.6446896766547,276.374791643681,277.91527082399006,7504144
2011-02-10,275.050537109375,280.52776963718026,273.95149244273125,279.77554283186214,8252152
2011-02-11,273.93804931640625,276.4469314713333,272.0912861315604,272.97862012418386,11214152
2011-02-14,279.6764831542969,280.9151655987378,273.9064707143709,274.22177170022866,6979048
2011-02-15,279.856689453125,281.87911591160594,276.93788963004346,279.2666217085262,4599952
2011-02-16,279.5368957519531,281.401671805064,277.5640208829738,277.6676109995029,2920384
2011-02-17,280.46929931640625,281.7890506185481,279.46482706829573,280.933233489112,3392984
2011-02-18,279.29364013671875,283.3204800812736,278.28468129954786,281.5187600171638,7102304
2011-02-21,285.1446533203125,286.2752367883636,277.10447946079495,279.2665430196568,9398952
2011-02-22,283.03662109375,285.3022745014421,280.52771796573757,282.8879660431492,6085648
2011-02-23,277.35675048828125,279.79806762177395,276.56849807556085,279.79806762177395,7076384
2011-02-24,271.05078125,277.4649005257608,269.80758995930313,274.7623203258346,16486520
2011-02-25,270.9156494140625,274.10017652023186,267.1950929789093,272.3480081076208,10366720
2011-02-28,269.9968566894531,282.4016989607444,267.3212839304022,272.2399901002939,14514472
2011-03-01,277.68109130859375,279.9873018198869,270.9787013752316,272.9605934730558,8377632
2011-03-03,272.6092834472656,275.5731043765076,270.3481158005555,275.4920357650323,12571856
2011-03-04,275.8612060546875,278.3655999938132,274.5819898968099,276.2936230359304,9770912
2011-03-07,274.10467529296875,277.014457571228,272.5552004493497,273.5011034752027,7357728
2011-03-08,280.7350158691406,282.1493617191298,272.0777421734647,272.98311090338217,8514512
2011-03-09,278.8612365722656,282.2214490550364,276.6541293856979,281.0683437588334,6676440
2011-03-10,278.3883056640625,279.2666443034039,275.88841876747557,278.8162142319468,3438200
2011-03-11,275.1136169433594,277.3747842614312,274.3118603689698,276.38383829622313,7278272
2011-03-14,279.3387451171875,279.9873600854492,273.01919739396754,273.4110803923225,3557952
2011-03-15,272.9740295410156,275.564001523337,270.7984618733248,273.1406974051633,9037824
2011-03-16,273.04168701171875,275.7938190975957,272.064266970415,272.510188334413,5594720
2011-03-17,268.339111328125,270.1678611692473,267.64545366249877,268.82558882918676,8321376
2011-03-18,264.9518737792969,269.7894863094461,264.1861429804986,268.46971356003525,7468000
2011-03-21,263.25836181640625,266.38434208810366,261.6413222717889,265.8798516147221,6607096
2011-03-22,265.1275634765625,266.36173707663204,263.4114210576045,264.41587099639406,5119744
2011-03-23,269.6589660644531,270.1499304188266,263.6817505204815,264.379917095997,7266720
2011-03-24,270.5101623535156,271.35696169671775,268.3435903183097,269.6228067278122,8189232
2011-03-25,284.9465026855469,286.9238858201772,273.86592561933594,274.2217608906183,12662792
2011-03-28,282.82952880859375,284.45107694108964,280.14496139050857,282.77997710581445,12056632
2011-03-29,285.8743591308594,287.2571657552444,281.8745283429134,282.1492949861218,9860592
2011-03-30,285.6537170410156,288.5905297308532,284.3699914132133,285.75282044834285,5608128
2011-03-31,291.9957580566406,294.130791871495,285.02308841608357,286.65365382391946,18839928
2011-04-01,289.91021728515625,293.3425022704096,288.9958532924297,291.4371923966928,5588288
2011-04-04,295.7658386230469,296.92345250688925,290.16700258637445,290.52734658213524,7375992
2011-04-05,295.77484130859375,296.6531797545722,291.0768654950001,295.2072951447698,4302536
2011-04-06,295.0450744628906,297.1936337804046,292.96410162078587,295.3919142667313,6766920
2011-04-07,292.4101257324219,293.85150166898126,291.67142496366546,293.85150166898126,3800288
